,summary
14,Mice experience a rapid loss of fecal microbiota diversity upon mtb infection. depletion of the microbiome by broad - spectrum antibiotics rendered mice more susceptible to tb. restoring the gut microbiota by fecal transfer reduced the bacterial load of mtb. chemotherapy with first - line antimycobacterials led to dysbiosis that persisted beyond the end of drug treatment.
15,"The lungs of wildr mice at 1 day and 14 days post - infection had a significantly lower bacterial burden than labc mice, and this difference dissipated thereafter. In contrast, animals of both cohorts had a similar pathogen load in the spleen at individual time points. This suggests that the gut microbiota may shape innate immunity leading to different degrees of tb control."
16,"The conventional balb / c mouse model is widely used in tb research, including preclinical development of novel therapies. We used animals born to germ - free mothers that were inoculated with the gut microbiota of wild - living mice. fecal samples obtained from individual mice of both cohorts prior to and during tb infection were subjected to dna isolation and sequencing of the 16s rrna gene v4 region."
17,"This tb - induced dysbiosis of the gut microbiome has been previously reported in both human and mouse tb infections ( reviewed in [ 33 ] ). given the significant differences in overall community composition between labc and wildr mice, we next applied aldex2 [ 29 ] to detect differentially abundant taxa at the phylum, family, and genus levels ( fig 2d ). at the. phylum level, bacteroidota ( formerly bacteroidetes ) and pseudomonadota were dominant in wildr. mice, whereas bacillota (formerly firmicutes ) and actinobacteriodota were enriched in the labc mice. verrucomicro"
18,"Members of the bacillota phylum including ruminococcus ( family ruminococcaceae ) and multiple lachnospiraceae groups were enriched in labc mice. verrucomicrobiota and campylobacterota were only detected in labC and wildr mice, respectively.wildr mice were enriched for odoribacter, helicobacter and genera within the rikenellaceae family. the sulfur - reducing genera bilophila and desulfovibrio were also differentially abundant in wild r mice."
19,The representation of tb lung pathology in both cohorts was very similar. foamy macrophages appearing more transparent due to their accumulation of lipid bodies filled out many alveolar spaces and were infected with acid - fast bacilli. We conclude that the wild mouse gut microbiome does not impact the number of lung lesions and the lesion organization in the balb / c model.
20,"To determine the impact of the gut microbiota on t cell immunity to tb, we measured the dynamics of cd4, cd8 and γδ t cells during acute and chronic infection. at designated time points after mtb infection, groups of four mice were used to prepare organ single - cell suspensions for flow cytometry analysis of t cell subsets. wildr mice generally had a less pronounced t cell response in the lungs at early time points, compared to labc mice."
21,We examined the protein levels of 23 cytokines and chemokines in the lungs and spleen of labc and wildr mice at the acute and chronic phases of tb infection. Most cytokine and. chemokine levels were much higher in the lung than in the spleens. We thus performed principal component analysis to explore if different gut microbiomes would affect cytokine expressions in response to tb. infection.
22,"Mice having the gut microbiota of their wild - living relatives have better host fitness, improved disease resistance and might model humans more closely. We tested whether introducing the wild mouse gut microbiota to the balb / c host ( wildr ) would alter the representation and course of tb infection. The wildr mice were enrichen in bacteroidota and pseudomonadota, whereas bacillota and actinobacteriodota were enriched in the labc mice."
23,The number of bacilli detected in lungs was lower at 1 - and 14 - days post - infection in wildr mice. The observed difference in lungs did not impact dissemination to the spleen. growing evidence suggests that tb susceptibility is impacted by the microbial community in the gut.
24,"The cytokine and chemokine profiles we measured in infected organs of labc and wildr mice showed a large overlap ( s1 fig ). a principal component analysis of data revealed a clear separation of animals by time points post - infection but not between microbiomes. The nature of the infectious agent, the vastly different inoculation dose, the mouse strain and the choice of experimental endpoints may have contributed to the lack of cytokine profile changes."
25,"This work provides an up - to- date roadmap that identifies critical research gaps related to human behavior and performance in altered gravity and space. We highlight the need for a variety of target - specific countermeasures, and a personalized administration schedule as two critical strategies for mitigating potentially adverse effects of spaceflight on the central nervous system and performance."
26,"The potential damage to neural structures in response to spaceflight and its behavioral implications are not well understood. adverse behavioral conditions, psychiatric disorders, and sensorimotor deficits are considered some of the most serious but also least understood risks during future long - duration space missions. Identifying and predicting the effects of spaceflight on human performance will be critical for successful future exploration class missions."
27,"In 2020, esa released a call for ideas for evolution of the scispace roadmaps in the post 2024 era. pooling the combined expertise of esa with the scientific community and stakeholders across europe led to the identification of four major future roadmaps. The process of creating the roadmaps has involved hundreds of individuals from the wider life science and engineering communities."
28,"This manuscript highlights the esa scispacee research gaps identified in the field of neuroscience as part of the behavioral health & performance roadmap. In the following sections, we identify and discuss some key knowledge gaps related to neurobehavioral performance during human future exploration space missions. We address potential countermeasures to mitigate these risks. We conclude with a summary of key priorities for the roadmaps of current and future space programs, and how addressing these knowledge gaps can benefit people."
29,"Little is known about how spaceflight affects transcription spatially in the brain. A greater understanding of this process has the potential to aid strategies that mitigate the effects of spaceflight on the brain, says the study. The demands of deep space pose a health risk to the central nervous system that has long been a concern when sending humans to space."
30,"hypervirulent klebsiella pneumoniae ( hvkp ) is a subgroup of k. pneumoniae. It has gained attention due to its global dissemination, its capacity to cause invasive infections in community settings among immunocompetent individuals. The international space station is a unique, hermetically sealed environment, subject to environmental pressures not encountered on earth. The findings underscore the need to monitor microbial communities in space to comprehend their survival mechanisms."
31,"Genomics of potential human pathogens in space could shed light on species and lineages of medical astromicrobiological significance. While bacteria ' s adaptability during spaceflight remains elusive, recent research suggests that it may be species and even clone - specific. considering the documented spaceflight - induced suppression of the human immune system."
32,"Sarcopenia associates with numerous health risk factors and poor quality of life. drugs that counter sarcopenia without harmful side effects are lacking, and repurposing existing pharmaceuticals could expedite realistic clinical options. recent studies suggest bisphosphonates promote muscle health; however, the efficacy of bisph phosphonates as an anti ‐ sarcopenic therapy is currently unclear."
33,"Za delays caenorhabditis elegans sarcopenia, which translates to improved neuromuscular function across the life course. bisphosphonates might, therefore, be an immediately exploitable anti  sarcopenia therapy. Study found no synergistic improvements in za co  treatment vs. knockdown alone."
34,"Sarcopenia is a specific disease associated with numerous health risk factors in the elderly. It is prevalent in at least 10 % of older populations and up to 31 % as a co ‐ morbidity. Despite associated annual healthcare costs that run into the billions, efficacious treatment strategies against sarcopenia remain limited."
35,"Osteoporosis patients prescribed alendronate or pamidronate display significant increases in muscle strength and total muscle mass. Recent reports on the most potent bisphosphonate, zoledronic acid ( za ), show improved muscle morphology, strength and mass in rodent models of cancer cachexia, 17 duchenne muscular dystrophy 18 and denervation ‐ induced muscle atrophy."
36," methods using caenorhabditis elegans as a sarcopenia model, we treated animals with 100 nm, 1, 10, 100 and 500 μm zoledronic acid ( za ) and assessed lifespan and healthspan ( movement rates ) using a microfluidic chip device. the effects of za on sarcopenian. the mechanisms of z a ‐ mediated healthspan extension were determined using combined za and targeted rnai gene knockdown across the life ‐ course."
37,"70 young adults were collected and loaded into microfluidic chips ( infinity chips ; nemalife inc., tx ) using a 2. 5 ml syringe. Chips were washed for 90 s with liquid ngm to remove progeny followed by a further 90 s recording for subsequent computational analysis of animal survival and locomotion. both lifespan and healthspan were determined every day using videos of microfluids housed populations."
38, lifespan and healthspan were determined every day using videos of microfluidic ‐ housed populations. average values were taken from movement scores between all three frames. zoledronic acid effects on sarcopenia dystrophic progression with age were visualized and quantified using transgenic strains expressing green fluorescent protein.
39,"The effects of rnai treatments on animal lifespan / healthspan were determined using bacterial feeding vectors and performed in the infinity screening system, as described above. Analysis was carried out in imagej, and the number of well networked, moderately fragmented or severely fragmented muscles were expressed as a percentage of total muscle cells visible."
40,"All bacteria and drug solutions were prepared fresh daily until cessation of life. rnai experiments were always conducted alongside empty vector controls ( pl4440 ). statistics lifespan analysis was performed using kaplan – meier curves assessed by the log ‐ rank ( mantell – cox ) test. for movement rate, area under the curve ( auc ) was performed on mean movement values across each day of adulthood. both mitochondrial and sarcomere quantification were analysed using the percentage classification score from individual animals across biological repeats."
41,"100 nm and 1 μm za increased lifespan ( p < 0. 001 ) and healthspan ( 954 ± 53 ( 100 nm ) and 963 ± 48 ( 1 ω) vs. 834 ± 59 % ( untreated ) population activity auc, p > 0. 05 ]. 10 μm Za shortened lifespan (p < 0, 0001) but not healthspan. 100 and 500 μm. za were larval lethal."
42,"Zoledronic acid extends caenorhabditis elegans lifespan and healthspan. higher za concentrations ( 500 and 100 μm ) were larval lethal, and 10 μm za shortened lifespan ( median survival = 11 vs. 14 days for controls, p < 0. 0001 ; figure 1a ) Without significantly impairing healthspan ( animal movement auc = 758. 9 ± 37. 08 vs. 833. 9 / 59. 91 for controls)"
43,"Animals exposed to 10 μm zoledronic acid ( za) exhibit significant declines in survivability to untreated controls. However, za shows no significant impairment in movement capacity across whole life. Both 1 μm ( b ) and 100 nm ( c ) were beneficial to animal survival. za delayed loss of organized sarcomeres until day 6 post ‐ adulthood."
44," zoledronic acid attenuates age ‐ related loss of sarcomere integrity. za also decreased muscle cells categorized as ‘ moderately disorganized ’ on days 4 ( 17. 0 % vs. 38. 2 %, p < 0. 01 ) and 6 ( 27. 6 vs. 53. 4%) post ‐ adulthood. We next examined the effects of za on mitochondrial integrity, given the strong associations of mitochondrial structure and function with animal health."
45,"Treatment with zoledronic acid did not delay the onset of well ‐ networked mitochondria loss at day 2 ( figure s2 ) or day 4 post ‐ adulthood ( 51. 8 %, p < 0. 0001 ). However, za prevented progressive mitochondrial fragmentation at day 6 ( 46. 7%) compared to untreated animals. The lifespan extending effects of za have previously been attributed to the mevalonate cholesterol / isoprenoid lipid biosynthesis pathway and the foxo family of transcription factors, 21."
46, knockdown of fdps ‐ 1 with za co ‐ treatment ( 1 μm) prevents za mediated lifespan and healthspan extension. Knockdown of daf ‐ 16 ( foxo ) decreases survival and movement. The conserved bone ‐ muscle ortholog agxt ‐ 2 ( baiba ) is required for za- mediated improvement in survival.
47,"Agxt ‐ 2 / baiba, igdb ‐ 1 / fndc5 and let ‐ 756 / fgf21. 24 lifespan and healthspan were unaffected by kd of a muscle ‐ borne bone protective factor 30. combined agxt   2 kd with za treatment was unable to confer life / healthspan extension. inhibition of igDB   1 extended lifespan ( median survival = 11 vs. 7 days for controls, p < 0. 05)"
48,"We examined the role of two c. elegans mitochondrial sirtuins, sir ‐ 2. 2 and sir ‚ 2. 3, 32 for their role in za ‐ mediated lifespan and healthspan extension. We found that knockdown of sir   2. 3 extends lifespan but not healthspan. We also found that combined za treatment and gene inhibition was not synergistically beneficial."
49,"Bisphosphonates ( za ) extend c. elegans lifespan and healthspan, which associates with delayed onset of muscle sarcomere and mitochondrial decline. We establish muscle centric myokines and mitochondrial sirtuin as previously unknown regulators of bisph phosphonate effects on ageing muscle health."
50,"Bisphosphonates increase lifespan through inhibition of the mevalonate metabolic pathway and downstream foxo activation. Dysfunction of this pathway can associate with wide ranging pathologies including cardiovascular disease, autoimmune disease, cancer and alzheimer ' s disease. Early ‐ to mid ‐ life muscle preservation translates to improved animal health across the entire life course."
51," baiba promotes insulin sensitivity, anti ‐ inflammation 38 and osteocyte survival in mice, 39 and its expression does not decline with age 39 ; thus, baiba ‐ mediated muscle / health benefits of bisphosphonates would be anticipated to remain in older age. knockdown of igdb ‐ 1 / fndc5 extended worm lifespan and healthspan."
52,Chronic bisphosphonate administration delays the onset of muscle structural and mitochondrial decline in a c. elegans model of sarcopenia. This translates to improved animal health across the entire life course. The mechanisms regulating the positive ageing / muscle effects of bisph phosphonates appear to be conserved across species.
53,"Despite surging interest in space travel, the impacts of prolonged, elevated exposure to galactic cosmic radiation ( gcr ) on human health remain poorly understood. This form of ionizing radiation causes significant changes to biological systems including damage to dna structure by altering epigenetic phenotype with emphasis on dna methylation."
54," galactic cosmic radiation ( gcr) consists of heavier atomic nuclei with high linear energy transfer ( high - let ) values which are of great danger for human health. ionizing radiation damages dna structure by inducing double - stranded breaks and base damage. During long exposure, these alterations are likely to increase the risk of cancer and degenerative diseases occurrence."
55,There were a few reports suggesting that high - let 4 and ultraviolet 11 induced dna damage may be affected by chromatin structure. Until now there are no studies investigating a dna methylation pattern induced by low - / high -Let and spatial chromosomal conformation capture. We used hi - c data to create detailed nuclear division introducing five distinct radial nuclear layers.
56,"This research addresses the pressing need to understand the impact of galactic cosmic radiation ( gcr ) on human health. We used the concept of radial nuclear layers to explore how chromatin properties, including histone modifications and spatial conformation, affect dna methylation alterations. This research aims to contribute valuable information for developing strategies to minimize the adverse effects of cosmic radiation during space travel."
57,"We analyzed dna methylation patterns caused by high - let ( 56 fe, 28 si ) and low- let ( x - ray ) participles. regardless of the dose, 56 fe predominantly increases dna. methylation whereas x ray decrease dnaethylation levels when compared to control. contrary to primary article where no effect of 28 si was observed, we discovered its activity in decreasing dnamethylation levels."
58,"56 fe was able to induce hypermethylation of primarily hypomethylated sites and hypometHylation of mostly hypermethylated sites whereas 28 si induced only the latter. 28 si is more likely to affect hypomet HMT sites at control. To investigate specific genomic locations of dmps, we looked at the relation to cpg islands localized in the close relationship of gene promoters 18."
59,"We found that, regardless of radiation type and dose, grouped dmps were more likely located inside promoter regions. It suggests that proximal regulatory regions of human genome are more prone to accumulate radiation induced dna methylation changes. We also found that cpg islands were more prevalent among sites which methylation increased after 56 fe or decreased after 28 si and x exposure."
60,"Fig. 2 is a schematic representation of nucleus division based on the high - throughput chromosome conformation capture ( hi - c ) technique score. chromosomes 13, 10 and 4 have the highest 48 - h dmps frequency after fe 1 gy exposure. to investigate whether the observed dmp frequencies depend on the 3d chromatin structure we divided the nucleus into five distinct layers as shown on fig. 2 b."
61, nucleus layers were created based on the even distribution of all dna methylation probes in order to include the same amount of dna within each layer. chromosomes with the highest dmps frequency are cumulating dna. methylation sites at the “ l2 ” – ‘ l3 ” junction and among the following layers. The methylation change induced by 56 fe persisted until the ‘l5 ’ having the lowest value in ‘L1 ’.
62," histone modifications predispose cells to particular irradiation response. We examined four histone. modifications ( h3k4me3, h3K27ac, h2k27me3 and h3 k9me3) which are known to have a major role in chromatin. organization. We observed the enrichment of h3cme3 among external layers with a decreasing towards inner nucleus layers. that distribution was contrary to other histone modification which level did not depend on the layer."
63,"H heterochromatin - associated marks ( h3k9me3, h3K27me3 ) had higher baseline methylation levels than euchromatin- associated marks. methylation level was rather stable ( p = 0. 22 ; p =0. 087, respectively ) across distinct nucleus layers. among h 3k9 me3, a methylation increase was observed towards the inner layers. when compared the mean absolute methylation change to all dmps, we discovered that the methylated change was higher in all histone marks, regardless of radiation type and dose."
64,"Methylation change was higher in histone mark associated sites, especially among regulatory regions. The highest changes are observed in outer layers of nucleus. regulatory regions associated with histone marks are more prone to accumulate radiation associated damage with regard to dna methylation. These results may highlight the role of histone modifications in response to external radiation, for instance to protect inner euchromatin - associated regions."
65,"To explore the dna methylation changes induced by the selected irradiation, we looked at the methylation change over time. We discovered that regardless of the dose and the direction of methylation. change 56 fe induces persistent dnamethylation changes ( fig. 4 a ; s4 a ). on the other side, 28 si and x induce dnaethylation changes which are not durable. to check if similar effect is observed on functional level, we used gene expression data of the nasa ’ s osdr ( see methods for details )."
66,"In mice heart tissue, irradiated with 56 fe 0. 15 gy particles, we observed corresponding short - term gene expression patterns in mice breast tissue. In blood tissue of jaxa astronauts, we checked if we observe a corresponding pattern in gene expression to dna methylation change right after astronauts were sent to space and exposed to gcr. We also investigated the chronic effect of protons, gamma rays, 137 cs and 57 co on gene expression."
67,"The epigenome imprint was persistent for 56 fe or space exposure when compared with 28 si. as such, we confirmed the previous dna methylation findings on functional level. lastly, we checked for dnamethylation change persistence over time in histone modification peaks, promoters and enhancers regions overlapped with dmps and observed corresponding results to previously established patterns."
68,"Each of investigated radiation types induce distinct dna methylation patterns. methylation changes which occur early, persist over time only when caused by 56 fe particle. after 28 si and x - rays ’ exposure, we found a methylation peak at the beginning and a decrease towards baseline level over time. in line to previous observations a vast majority of identified methylation sites was located in and around cpg islands."
69,"Methylation and gene expression levels in terms of gcr particles as well as astronauts ’ exposure to space radiation. methylation levels in various tissues exposed to spaceflight. to properly examine the persistence of these patterns, multiple timepoints with longer period of observation would be preferred."
70,"We looked at the spatial distribution of epigenetic histone modifications which may also play a role in the context of gcr 11, 46. exposed dna fragments are at the highest exposure to radiation beams which effect decreases with nucleus depth 4. However, despite the highest frequency of dmps observed, the highest dna methylation change and corresponding chromosomal frequencies were observed around the middle layer of the nucleus."
71,"Dna double strand breaks ( dsbs ) are distributed “ randomly, ” without accumulation at the nuclear periphery, but more prevalent in nuclear compartments with low chromatin density. rays penetrate the whole nucleus and lose energy in a random manner along the photon path, and not having bragg peak present due to presence of uncharged photons in x rays."
72,Most dmps were located in chromosomes with low gene expression and located more peripherally compared to chromosomes with high gene expression. The intensity of dna methylation changes correlates with both the low - expression ( heterochromatic ) state of chromatin and the peripheral location of Chromatin. It seems that epigenetic architecture plays a major role in cell response to irradiation.
73,"In human t - lymphocyte cells, simulated - microgravity results in dna hypomethylation 58. gene expression analysis showed a decreased expression of histone deacetylases ( hdac ) 1 which should have resulted in increased acetylation of hist one h3."
74,"Fruit flies and humans exhibit immune system dysfunction in space. Studies examining their immune systems ’ interactions with natural parasites in space are lacking. drosophila parasitoid wasps modify blood cell function to suppress host immunity. in this study, naive and parasitized ground and space flies from a tumor - free control and a blood tumor - bearing mutant strain were examined. inflammation - related genes were activated in space in both fly strains."
75,"Study examined the effects of spaceflight on d. melanogaster infested with natural parasitoid wasps that journeyed to and back from the international space station ( iss ), aboard spacex - 14. larval blood cells ( hemocytes ) of the hosts ’ innate immune system ( macrophage - like plasmatocytes — called macrophages here — and their derivatives, lamellocytes ) cooperate to recognize, surround, melanize, and destroy the wasp egg."
76,"L. leptopilina heterotoma ( lh ) is highly successful on many drosophila species and is considered to be a generalist parasite. L. boulardi ( lb ) is a specialist parasite and is successful on a narrower host range than lh. lb evs also bear spikes, are immune - suppressive, and have a protein profile similar to lh evs. Despite differing in the ways they attack host hemocytes, both wasps effectively create immune - deficient hosts, making it conducive for wasp development."
77,"In this fruit fly lab - 03 ( ffl - 03 ) spaceflight experiment, we compared the development of two fly strains : one healthy and another suffering from chronic inflammation ( ci ). The latter strain carries a dominant germline mutation in the janus kinase ( jak ) gene to activate the transcription factor called signal transducer and activator of transcription ( stat ). The mutation constitutively activates the fly ’ s innate immune jak - stat and toll signaling pathways. components of both pathways are highly conserved in evolution, including humans. both immune pathways also control hematopoietic development."
78,"In both strains, genes encoding extracellular matrix ( ecm ) proteins or ecm - associated proteins ( together, matrisome proteins ) that contribute to cuticle and chorion structure and function were strongly affected. genes essential for life were downregulated only in the control fruit fly strain. orthologs of many of these genes have disease relevance in humans. inflammation - related genes were activated in both strains. While the control flies remained free of tumors, the tumor burden in the space - returned ci strain increased."
79,"The ffl - 03 experimental design consisted of two fly - only cultures ( fly strains y w and y w, hop tum - l ) and four fly / parasite co - cultures on each host strain. survival of animals was scored post - flight ( see star methods ). we found that the overall yield of both male and female y w flies in each vial was roughly half of that of the ground - reared flies. While spaceflight actually favored male viability slightly but significantly ( average 44 versus 57 males / vial), female development remained unaffected."
80,"Under the ffl - 03 experimental protocol, animals of the two genetic backgrounds responded differently to spaceflight, underscoring the complex interplay of these factors. animals that did not appear to suffer from the effects of spaceflight ; while spaceflight actually favored male viability slightly but significantly ( average 44 versus 57 males / vial ), female development remained unaffected."
81,"Y w strain was more sensitive to spaceflight than hop tum - l, with 13. 22 % versus 6. 78 % degs ( spaceflight versus ground control samples ), respectively. A separate analysis of white - eyed ( w 1118 ) flies, also on the spacex - 14 mission, reported 6. 49% and 3. 25% degs in s0 versus g0 female and male fly heads, respectively."
82,"The hop tum - l strain showed 9. 69 % degs relative to y w, with more than two - thirds of degs upregulated and the remaining degs downregulated. in space, this differential expression was enhanced ( 14. 03 % of genes affected ), but the proportion of upregulated versus downregulated genes was roughly equal ( table s1 ). volcano plots of the four comparisons revealed distinct gene identity profiles in each comparison."
83,"The top degs downregulated in g0 hop tum - l versus g0 y w that maintain their expression patterns in space include members of the lysozyme gene family, histone h4 genes, serine proteases, carboxypeptidases, and other enzymes. Most genes in panel a that maintain differential expression in space are toll pathway target genes 34, 35."
84,"Top degs encode proteins for cuticle ( e. g., chitin - binding domain - containing proteins of the twdl, cplca, and cpr families) Top degs also encode proteins with the gyr / ylp domain or immune response - related proteins ( figure 3 c ). We consider the effects of spaceflight on top degs in individual strains as follows."
85,"We examined the expression of 1, 024 essential genes that have been identified in genetic experiments as indispensable for life. across the four comparisons, we found 137 essential genes to be differentially expressed. The space environment had a profound effect on the differential expression of these genes between the two genetic backgrounds."
86,"The most striking effects of spaceflight were seen in y w flies. 96 genes were either upregulated ( 24 genes ) or downregulated ( 72 genes ) in space - flown samples compared to respective ground control samples. gene expression changes were milder in hop tum - l samples, with the expression of only 10 genes significantly affected."
87,"We identified 34 high - scoring degs that we grouped into broad categories. 22 degs were significantly downregulated in s0 y w versus g0 yW flies. Only two genes, veil and melt, showed significant upregulation. The remaining 17 essential degs, with a low diopt value ( i. e., < 12 ), were annotated with enzymatic, developmental, or unknown functions."
88,"High levels of jak - stat pathway genes tota, diedel, et, and cg4793 in hop tum - l versus y w were maintained in space. Several toll pathway components ( pgrps sa, sb1, and sd, grass, spe ) and target genes were significantly upregulated in g0 hop tum- l versus g0 y w flies."
89,"Many immune genes are constitutively active in hop tum - l flies, remarkably, spaceflight activated the expression of a majority of these immune genes in y w flies. elevated expression of pathway components ( cg8046, toll - 9, figure 5 b ), pathogen recognition receptors ( prrs, pgrps sa, sb1, sd), and other toll / imd pathway target genes ( figure 5 e ) was observed in s0 y w versus g0 yW flies. tumors were not detected in s 0 y w animals, even though they showed evidence of high immune signaling."
90,"300 females and 150 adult males were raised either in the iss or at ksc ( see star methods ) at 22°c, and then at 25°C, once returned to the laboratory. tumors were scored in larval and adult samples. high immune gene expression persists in naive s1 larvae as in the mutant hop tum - l adults."
91,"In naive s1 y w larvae included cg10764, lubel, pgrp - sb1, - sc1a, and amp genes, cecb, attc, drs, and drsl5 ( figures s3 a – s3d ). similarly, naive s 1 hop tum - l larvae showed elevated expression of immune targets dpta, dptb, ceca2, drsl3, dr sl5, and ceca1 relative to their g1 counterparts. thus, in both genetic backgrounds, immune signaling was elevated in s1 larvae, even though the affected target genes were different."
92,L lb17 attack elicits encapsulation of the wasp egg due to an overabundance of circulating hemocytes ( not recruited into the melanized tumors ) lh14 - infected hop tum - l larvae instead develop small melanized specks 8 ( see figure s4 for examples of immune reactions )
93,Tumor score higher in naive s1 compared to g1 hop tum - l larvae. s1 hosts are also more immune reactive than g1 hosts. space wasps of both species differed from ground wasps in their ability to elicit encapsulation. at mounting an immune response.
94,"A normal lymph gland has multiple, paired lobes, consisting of hemocytes, positioned along the tubular dorsal vessel that continues into a pulsating heart. All anterior lobes of naive g0 and s0 hop tum - l larvae were dispersed due to the effect of the mutation ( figures s5 i – s5p ). the mutation also results in some lobes detaching from the dorsal vessel, and many gFP - positive lamellocytes were present."
95,Lh14 infection results in the gradual loss of hemocytes in all lobes. this effect is attributed to the presence of evs in the entire lymph gland. evs were present in hematopoietic progenitor cells and dorsal vessels of g0 and s0 lh - infected g1 and s1 y w hosts. The venom fluid containing the evs is injected into the host during oviposition.
96,"More than 80% of downregulated degs showed log ( 2 ) - fc between −1. 00 and −2. 00 ( 228 / 280 in lb17 and 250 / 261 in lh14 ). Only 6 of all degs showing a log (2 ) -fc > 2 for lb17; this number was 16 for lh 14. these degs do not appear to belong to a specific functional class, and many lack clear annotations."
97,"A rhogap superfamily protein called lbgap in lb evs is implicated in wasp virulence. In lb17, 29 / 312 ( 9. 89 % ) ev genes were significantly differentially expressed. In lh14, only 5 / 398 ( 1. 61 % ) transcripts were significantly expressed. of the downregulated genes, three lack annotations."
98,Gaja01012169. 1 none −2. 43751 0. 01366223 6 gaja01009829. 1 lrr _ 8 pfam13855 ( 4. 09e - 08 ) -2. 35265 0. 00318438 7 gaja01006376. 1 znmc superfamily cl00064 ( 1. 72e - 28 ) +2. 23343 0.01726026 8 gaja01020203. 1 pbp _ gobp pfam01395 ( 8. 21e - 20 ) +1. 07279 5. 15e - 07 14 gaja1008705. 1 cap _ euk cd05
99,Figure 8 a shows the master record for lb17 transcriptome in the transcriptome shotgun assembly. 50 genbank accession numbers and e - values of the domain or protein family are shown. Transcripts are organized by log ( 2 ) - fc in their expression. id refers to the lb identifier for each transcript labeled in the volcano plot in figure 8 a. conserved domains and motifs were detected via the conserved domain database.
100,The yields per vial of each wasp species reared in space were comparable to those of ground control samples. spaceflight did not significantly affect the overall development of wasps. The relative success of parasite versus host in individual vials suggested that each leptopilina species successfully disarmed both y w and hop tum - l hosts in space and also on earth.
